,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Symbol,Company Name,Interest Income,Rent Expense Supplemental,Total Operating Income As Reported,Average Dilution Earnings,Other Special Charges,Impairment Of Capital Assets,Interest Income Non Operating,Selling And Marketing Expense,Otherunder Preferred Stock Dividend,Amortization,Amortization Of Intangibles Income Statement,Preferred Stock Dividends,Earnings From Equity Interest Net Of Tax,General And Administrative Expense,Other Gand A,Net Income Discontinuous Operations,Gain On Sale Of Business,Write Off,Salaries And Wages,Other Taxes,Provision For Doubtful Accounts,Total Other Finance Cost,Depreciation Income Statement,Insurance And Claims,Rent And Landing Fees,Excise Taxes,Depletion Income Statement,Securities Amortization
3/31/2024,-9423599.263,0.265715,298177000,-35465000,-35465000,110395000,44186000,3682659000,262712000,218526000,-32301000,47723000,136436400.7,1007000,3727345000,136712000,136006000,0.01,0.01,1007000,1007000,1007000,-15023000,16030000,125418000,45385000,170803000,-13384000,2622000,-35465000,,35465000,19459000,,-32301000,47723000,216488000,44686000,,,,,44686000,261174000,3682659000,3943833000,3943833000,ACM,AECOM,15422000,,200482000,,,,15422000,,,,,,,44686000,44686000,-109388000,,,,,,,,,,,,
12/31/2023,-3155100,0.195,237298000,-16180000,-16180000,95725000,43322000,3655950000,221118000,177796000,-29155000,41257000,108749900,94438000,3691674000,137101000,135897000,0.69,0.69,94438000,94438000,94438000,-14156000,108594000,109881000,26658000,136539000,-42552000,2569000,-16180000,,16180000,-28941000,,-29155000,41257000,208246000,35724000,,,,,35724000,243970000,3655950000,3899920000,3899920000,ACM,AECOM,12102000,,163125000,,,,12102000,,,,,,,35724000,35724000,-1287000,,,,,,,,,,,,
9/30/2023,-22280164.29,0.161618,280750000,-137857000,-137857000,32910000,44678000,3590080000,142893000,98215000,-25643000,41402000,148486835.7,25473000,3631013000,139418000,138103000,0.18,0.18,25473000,25473000,25473000,-14721000,40194000,47631000,9182000,56813000,-128916000,2075000,-137857000,,137857000,6866000,,-25643000,41402000,211372000,40933000,,,,,40933000,252305000,3590080000,3842385000,3842385000,ACM,AECOM,15759000,,80381000,,,,15759000,,,,,,,40933000,40933000,-7437000,,,,,,,,,,,,
6/30/2023,-1363581.965,0.149598,-42448000,-9115000,-9115000,-127094000,43261000,3413471000,-51563000,-94824000,-30066000,38868000,-119342582,-134701000,3456354000,138741000,138741000,-0.97,-0.97,-134701000,-134701000,-134701000,-13402000,-121299000,-113692000,-20000000,-133692000,-310821000,1797000,-9115000,,9115000,-303503000,,-30066000,38868000,207195000,42883000,,,,,42883000,250078000,3413471000,3663549000,3663549000,ACM,AECOM,8802000,,-105423000,,,,8802000,,,,,,,42883000,42883000,-7607000,,,,,,,,,,,,
3/31/2023,-975784.1638,0.245604,257897000,-3973000,-3973000,118390000,44189000,3262078000,253924000,209735000,-32568000,42372000,121387215.8,76615000,3296225000,140335000,138927000,0.55,0.55,76615000,76615000,76615000,-7868000,84483000,126258000,41105000,167363000,5984000,2501000,-3973000,,3973000,7456000,,-32568000,42372000,193947000,34147000,,,,,34147000,228094000,3262078000,3490172000,3490172000,ACM,AECOM,9804000,,197430000,,,,9804000,,,,,,,34147000,34147000,-41775000,,,,,,,,,,,,
2/29/2024,0,0.184,2453531000,,,1674859000,347487000,10921045000,2453531000,2106044000,54964000,10305000,1674859000,1674859000,13753087000,636797814,629016555,2.63,2.66,1676534000,1674859000,1674859000,-34343000,1709202000,1709202000,386537000,2095739000,-5652000,-5652000,,,,,,54964000,10305000,2046427000,2832042000,115409000,,,,2716633000,4878469000,10921045000,15799514000,15799514000,ACN,Accenture plc,65269000,,2046427000,1675000,,,65269000,1631185000,,,,,,1085448000,1085448000,,,,,,,,,,,,,
11/30/2023,0,0.232,2974515000,,,1973444000,343367000,10776362000,2974515000,2631148000,87485000,14495000,1973444000,1973444000,13659416000,637398361,627996111,3.1,3.14,1975460000,1973444000,1973444000,-36537000,2009981000,2009981000,606672000,2616653000,-35719000,-35719000,,,,,,87485000,14495000,2564887000,2883054000,139664000,,,,2743390000,5447941000,10776362000,16224303000,16224303000,ACN,Accenture plc,101980000,,2564887000,2016000,,,101980000,1709891000,,,,,,1033499000,1033499000,,,,,,,,,,,,,
8/31/2023,0,0.281204,2352266000,0,0,1372963000,375736000,10803571000,2352266000,1976530000,86224000,17403000,1372963000,1372963000,14072280000,639249070,629922331,2.15,2.18,1374377000,1372963000,1372963000,-35249000,1408212000,1408212000,550915000,1959127000,-40017000,-40017000,0,,,,,86224000,17403000,1912920000,3268709000,471883000,,,,2796826000,5181629000,10803571000,15985200000,15985200000,ACN,Accenture plc,103627000,,1912920000,1414000,,,103627000,1730422000,,,,,,1066404000,1066404000,,0,,,,,,,,,,,
5/31/2023,0,0.221,3001236000,0,0,2009996000,358347000,11035515000,3001236000,2642889000,70610000,11208000,2009996000,2009996000,14205297000,638743434,631535162,3.15,3.18,2012097000,2009996000,2009996000,-38339000,2048335000,2048335000,583346000,2631681000,201783000,201783000,0,,,,,70610000,11208000,2359288000,3169782000,346873000,,,,2822909000,5529070000,11035515000,16564585000,16564585000,ACN,Accenture plc,81818000,,2359288000,2101000,,,81818000,1738621000,,,,,,1084288000,1084288000,,0,,,,,,,,,,,
2/28/2023,0,0.204,2301654000,,,1523648000,343114000,10979392000,2301654000,1958540000,38625000,11634000,1523648000,1523648000,13869577000,637735390,630845147,2.39,2.42,1525252000,1523648000,1523648000,-27035000,1550683000,1550683000,396223000,1946906000,-36300000,-36300000,,,,,,38625000,11634000,1944581000,2890185000,244390000,,,,2645795000,4834766000,10979392000,15814158000,15814158000,ACN,Accenture plc,50259000,,1944581000,1604000,,,50259000,1563567000,,,,,,1082228000,1082228000,,,,,,,,,,,,,
